GFX_english_male_mouth 75x49
GFX_english_male_eyes 47x74
GFX_english_male_eyes2 74x92
GFX_english_male_nose 80x65
GFX_english_male_ear 27x54
GFX_english_male_mouth_midage 78x52
GFX_english_male_eyes_midage 46x74
GFX_english_male_nose_midage 81x65
GFX_english_male_ear_midage 27x49
GFX_english_male_mouth_oldage 75x52
GFX_english_male_eyes_oldage 46x73
GFX_english_male_nose_oldage 80x66
GFX_english_male_ear_oldage 25x51
GFX_english_female_mouth 72x48
GFX_english_female_nose 80x65
GFX_english_female_eyes 49x79
GFX_english_female_eyes2 72x88
GFX_english_female_ear 28x54
GFX_english_female_mouth_midage 72x49
GFX_english_female_nose_midage 80x64
GFX_english_female_eyes_midage 46x76
GFX_english_female_ear_midage 28x54
GFX_english_female_mouth_oldage 72x50
GFX_english_female_nose_oldage 79x64
GFX_english_female_eyes_oldage 47x74
GFX_english_female_ear_oldage 28x54
